catchment_id,du,x,y,sourceName,identifier,comid
cat-2527958,d,-106.49545612327542,33.94165932273948,NHDPlus comid,17743691,17743691
cat-2528001,u,-106.5203793191623,34.0192872634335,NHDPlus comid,17743087,17743087
cat-2873598,d,-116.70139582883336,40.88987421013258,NHDPlus comid,11191143,11191143
cat-2873590,u,-116.7083653503422,40.78365535496819,NHDPlus comid,11191485,11191485
cat-1819617,d,-107.51215099667944,46.00455401828309,NHDPlus comid,12775229,12775229
cat-1819627,u,-107.47658586337832,46.01412702286488,NHDPlus comid,12775171,12775171
cat-2617147,d,-111.07748176438056,37.91125048758726,NHDPlus comid,4885121,4885121
cat-2617156,u,-111.080577939396,37.879326710107,NHDPlus comid,4885127,4885127
cat-2413922,d,-99.99781684097093,32.59307602012684,NHDPlus comid,5489433,5489433
cat-2413917,u,-100.0133692732756,32.54421250740206,NHDPlus comid,5488411,5488411
cat-2980998,d,-116.05015262869227,46.33935734695036,NHDPlus comid,23609420,23609420
cat-2980993,u,-115.75072357069644,46.30437214848845,NHDPlus comid,23611366,23611366
cat-1783706,d,-96.89386510881468,44.3408634508851,NHDPlus comid,9376072,9376072
cat-1784931,u,-97.00279462671408,44.312704085935685,NHDPlus comid,9376146,9376146
cat-2185351,d,-91.6078229721162,37.47041852639472,NHDPlus comid,7516451,7516451
cat-2185342,u,-91.84525862517094,37.29559060512509,NHDPlus comid,7517801,7517801
cat-1529075,d,-93.22501204853074,39.12041724393711,NHDPlus comid,7498552,7498552
cat-1529087,u,-93.25346566083071,39.10349850920828,NHDPlus comid,7499752,7499752
cat-500235,d,-89.71975476628589,31.879796254352485,NHDPlus comid,18153029,18153029
cat-500236,u,-89.6748835126431,31.886798692142595,NHDPlus comid,18152949,18152949
cat-98370,d,-77.54236251743541,39.22616393646647,NHDPlus comid,4505706,4505706
cat-98372,u,-77.54403324840656,39.24011204377585,NHDPlus comid,4505658,4505658
cat-796308,d,-80.54307395007818,40.74335055137591,NHDPlus comid,3819269,3819269
cat-796299,u,-80.54485137807065,40.88298494163016,NHDPlus comid,3818785,3818785
cat-3300800,d,-123.42547765741564,40.75848104173711,NHDPlus comid,8245188,8245188
cat-3300785,u,-123.088909854381,40.655165082451255,NHDPlus comid,8244602,8244602
cat-1850918,d,-108.83024775959908,46.32328445985099,NHDPlus comid,12621552,12621552
cat-1850920,u,-108.86155682860657,46.33726206748845,NHDPlus comid,12621518,12621518
cat-2156297,d,-100.77303663127066,36.54744737284029,NHDPlus comid,13823330,13823330
cat-2156284,u,-100.79312369560238,36.55876167697246,NHDPlus comid,13823314,13823314
cat-1103917,d,-93.83587944060216,43.89265237168021,NHDPlus comid,10597134,10597134
cat-1103975,u,-93.76067283054984,43.87965553045135,NHDPlus comid,10597262,10597262
cat-1545273,d,-100.47591507157468,39.61175911586722,NHDPlus comid,8365104,8365104
cat-1545085,u,-100.53438532337948,39.62265486101492,NHDPlus comid,8365008,8365008
cat-2586848,d,-110.08547988492828,37.211444501575336,NHDPlus comid,1384252,1384252
cat-2586847,u,-110.06232060885338,37.17232006928657,NHDPlus comid,1383732,1383732
cat-418010,d,-81.56514040366712,27.056648163097964,NHDPlus comid,16808155,16808155
cat-418013,u,-81.63873567879756,27.177232151117806,NHDPlus comid,16807611,16807611
cat-499565,d,-89.13039316372125,31.04679102342481,NHDPlus comid,18105022,18105022
cat-499638,u,-89.12064123739125,31.074948568871044,NHDPlus comid,18105000,18105000
cat-415835,d,-81.78082791577476,30.425652624810272,NHDPlus comid,16659339,16659339
cat-415862,u,-81.7961660183054,30.40999375867669,NHDPlus comid,16659345,16659345
cat-2720030,d,-114.54199413487694,35.94394119954573,NHDPlus comid,20591192,20591192
cat-2720025,u,-114.51773350062555,35.83983341128881,NHDPlus comid,945010208,945010208
cat-482219,d,-87.7781140787843,32.475400893411674,NHDPlus comid,18211838,18211838
cat-482221,u,-87.75864593752291,32.488871150613235,NHDPlus comid,18211796,18211796
cat-640184,d,-86.92026074669869,41.61394688747163,NHDPlus comid,3396960,3396960
cat-640202,u,-86.91455082722223,41.58953548336238,NHDPlus comid,3396976,3396976
cat-501355,d,-88.58084105197182,31.32316188199364,NHDPlus comid,18171636,18171636
cat-501360,u,-88.5852297510554,31.36506030823284,NHDPlus comid,18171530,18171530
cat-3295262,d,-120.42357695376111,41.6882721447858,NHDPlus comid,7923593,7923593
cat-3291531,u,-120.36241625367131,41.66949955741004,NHDPlus comid,7923613,7923613
cat-1541288,d,-98.92622850104566,40.18506688331718,NHDPlus comid,19014461,19014461
cat-1541291,u,-98.97790873185316,40.218717613582506,NHDPlus comid,19009075,19009075
cat-2710821,d,-111.06650950390284,33.42236422481552,NHDPlus comid,22442420,22442420
cat-2710822,u,-111.10278189389348,33.41565890115359,NHDPlus comid,22442416,22442416
cat-1491080,d,-96.28650268706416,46.74239427677316,NHDPlus comid,6689569,6689569
cat-1491079,u,-96.21766600634706,46.72797196848818,NHDPlus comid,6689437,6689437
cat-2173169,d,-102.100033663928,37.25403822323733,NHDPlus comid,20072881,20072881
cat-2173167,u,-102.34217493249378,37.17613697079143,NHDPlus comid,20071835,20071835
cat-1315635,d,-90.97367222264764,33.40413212110516,NHDPlus comid,17929382,17929382
cat-1315875,u,-90.9405706151747,33.38975498101226,NHDPlus comid,17929406,17929406
cat-244907,d,-79.87218484630827,35.1872338553671,NHDPlus comid,9210758,9210758
cat-244991,u,-79.90329654945002,35.461385177454325,NHDPlus comid,9210374,9210374
cat-3053105,d,-119.4724635451526,43.2813854865977,NHDPlus comid,24018071,24018071
cat-3053109,u,-119.35115403803412,43.08339728699149,NHDPlus comid,24018093,24018093
cat-1793568,d,-102.4130458366601,44.56076650682039,NHDPlus comid,14374467,14374467
cat-1793572,u,-102.4224359852888,44.547647664247215,NHDPlus comid,14374513,14374513
cat-2980273,d,-113.64592957440092,44.81131940576637,NHDPlus comid,23512872,23512872
cat-2980272,u,-113.62311102140694,44.8302170211261,NHDPlus comid,23512870,23512870
cat-2151728,d,-105.0156654408834,36.02752793710288,NHDPlus comid,20043252,20043252
cat-2151727,u,-105.02190508400643,36.02076219422489,NHDPlus comid,20043016,20043016
cat-3291021,d,-121.10714639799056,40.28618908912635,NHDPlus comid,2772866,2772866
cat-3292280,u,-121.09767363093688,40.274324632993206,NHDPlus comid,2773686,2773686
cat-1086515,d,-91.1307302896829,41.6676338553288,NHDPlus comid,17556297,17556297
cat-1086516,u,-91.19984854409934,41.6713774462112,NHDPlus comid,17556291,17556291
cat-92317,d,-75.35680415062846,42.60899529921237,NHDPlus comid,8085415,8085415
cat-92263,u,-75.2433654504118,42.84040222075031,NHDPlus comid,8085033,8085033
cat-2416090,d,-97.09111460044672,31.92980935947997,NHDPlus comid,5513382,5513382
cat-2416093,u,-97.10615182927374,31.949979732272364,NHDPlus comid,5513380,5513380
cat-1802711,d,-101.23739245531684,45.32523548154292,NHDPlus comid,11257220,11257220
cat-1802724,u,-101.25213180985672,45.29231632461878,NHDPlus comid,11257230,11257230
cat-1555523,d,-101.68898046497068,42.131214198522805,NHDPlus comid,17393130,17393130
cat-1555522,u,-101.74940399760855,42.10237828846568,NHDPlus comid,17393318,17393318
cat-1311934,d,-91.90991705997612,31.859424568834925,NHDPlus comid,19434510,19434510
cat-1311933,u,-91.96963880499172,31.87101587044908,NHDPlus comid,19434430,19434430
cat-1852960,d,-108.07798358501026,48.34982604343176,NHDPlus comid,12327319,12327319
cat-1854642,u,-108.13499830734663,48.30645198770684,NHDPlus comid,12327395,12327395
cat-2984456,d,-117.75168948920351,46.62243319419341,NHDPlus comid,23450659,23450659
cat-2984450,u,-117.52921731278262,46.56336941056661,NHDPlus comid,23449443,23449443
cat-2431919,d,-94.07852554311914,30.331593384823208,NHDPlus comid,1113877,1113877
cat-2431910,u,-94.06357504904037,30.43216269445899,NHDPlus comid,1113849,1113849
cat-2861984,d,-119.31957201003809,41.26669444817296,NHDPlus comid,8949208,8949208
